#_in-n-outs,Pop_2021,total_mileage_of_freeways,densityMi,growthSince2010,#_BurgerKing,#_innout_state,median_income_capita,GDP _capita,Percent_Change_GDP,percent_white,GDP_of_State,innout_tree
1,180051,407.63,43.3931051,0.038532499,3,267,30134,47,-0.4,90.1,2885627.3,1~10
1,138795,102.79,185.1350267,0.014631752,2,267,18873,73,6.2,83.8,2885627.3,1~10
1,137014,335.04,38.40106502,0.017768138,5,267,22150,38,3.4,83.4,2885627.3,1~10
1,99080,86.15,167.9451827,0.067196555,2,267,22211,36,6.8,72.8,2885627.3,1~10
1,91534,380.96,26.44865944,0.055645997,2,267,29296,36,3.2,86.2,2885627.3,1~10
1,32949,305.23,7.064963664,-0.080613268,1,267,20533,33,-0.2,81.1,2885627.3,1~10
0,272138,111.07,614.3932584,0.042011266,7,267,23459,7,2.3,87.1,2885627.3,0
0,156304,129.15,73.87552644,0.046445498,5,267,25757,38,-2.9,86,2885627.3,0
0,102090,128.42,107.8131524,0.045775789,3,267,20691,40,6.3,93.4,2885627.3,0
0,80404,65.02,133.5458861,0.169717968,2,267,19410,37,0.5,78.3,2885627.3,0
0,67749,135.8,55.10589172,0.07033171,1,267,14353,28,1.3,87.2,2885627.3,0
0,65345,205.28,22.5559322,0.048484944,2,267,33020,29,-1.3,90.3,2885627.3,0
0,63329,110,48.15766739,0.210280628,1,267,19683,38,9,87.9,2885627.3,0
0,55243,150.09,25.07789284,0.00601463,2,267,38770,40,2,90.3,2885627.3,0
0,45349,150.08,44.31862745,-0.008183773,3,267,23335,30,2.6,91.2,2885627.3,0
0,44151,353.36,6.981522778,-0.023830735,3,267,38575,35,0.1,86.1,2885627.3,0
0,40095,133.73,69.22352941,0.081305295,1,267,20405,40,2,89.7,2885627.3,0
0,28675,109.91,22.18949772,0.036803926,2,267,22977,38,-8.6,89.1,2885627.3,0
0,27655,93.65,27.31809145,-0.039426774,1,267,28113,26,3.5,78.4,2885627.3,0
0,21780,113.17,19.08340573,0.025491386,2,267,27233,55,-14,91.2,2885627.3,0
0,19631,180.2,7.725812769,-0.014145049,0,267,20534,44,-4.8,90.8,2885627.3,0
0,18804,433.94,1.881642275,0.032945109,1,267,22243,63,1.6,80,2885627.3,0
0,17225,123.39,11.59075224,-0.079776451,1,267,20195,44,5.3,89.4,2885627.3,0
0,15818,198.94,5.288140925,0.219425504,0,267,19125,23,-2.2,87,2885627.3,0
0,13291,308.37,4.228271564,-0.09224053,0,267,22008,79,11.1,90.4,2885627.3,0
0,8723,179.41,2.146360153,-0.13245922,0,267,24142,53,2.3,88.3,2885627.3,0
0,3079,101.93,3.395592865,-0.001234568,0,267,21332,27,3.2,93.2,2885627.3,0
0,1344,89.18,1.643631436,0.032340426,0,267,30573,71,-0.5,69.9,2885627.3,0
